#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-08-01T17:30:07 [V7.32.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-08-01T17:30:07	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-out=e_V(R)
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.3	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_36430161
#Name: J/A+A/643/A161
#Title: Coadded rotation curves of disk galaxies (Dehghani+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/a+a/643/a161	
#INFO	publisher=CDS	
#INFO	creator=Dehghani R.	
#INFO	related_resource=bibcode:2020A&A...643A.161D	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/643/A161	
#INFO	publication_id=doi:10.26093/cds/vizier.36430161	
#INFO	publication_date=2021-09-06	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_A_A_643_A161_table2:
#Name: J/A+A/643/A161/table2
#Title: Coadded rotation curves and their relevant quantities
#Column	j	(I2)	[1/26] Index of velocity bins (j)	[ucd=meta.id]
#Column	Vopt	(I3)	[40/330] Optical velocity (V_j,opt_)	[ucd=spect.dopplerVeloc.opt]
#Column	Ropt	(F4.1)	[2.5/29.1] Optical radius (R_j,opt_)	[ucd=phys.size.radius]
#Column	N	(I2)	[9/30] Number of data in each bin	[ucd=meta.id]
#Column	R	(F12.9)	[0.275/46.528] Physical radius	[ucd=phys.size.radius]
#Column	V(R)	(F13.9)	[7.2822/335.346] Physical velocity	[ucd=phys.veloc.rotat]
#Column	e_V(R)	(F12.9)	[0.36/24.552] rms uncertainty on V(R) (dV)	[ucd=stat.error]
j|Vopt|Ropt|N|R|V(R)|e_V(R)
 2|104| 5.7|20| 4.560000000| 93.392000000| 1.456000000
 2|104| 5.7|20| 5.130000000| 98.592000000| 1.872000000
 2|104| 5.7|20| 5.700000000|103.584000000| 2.912000000
 2|104| 5.7|20| 6.270000000|104.832000000| 4.992000000
 2|104| 5.7|20| 6.840000000|106.912000000| 5.616000000
 2|104| 5.7|20| 7.410000000|107.640000000| 5.824000000
 2|104| 5.7|20| 7.980000000|109.720000000| 6.136000000
 2|104| 5.7|20| 8.550000000|111.176000000| 5.928000000
 2|104| 5.7|20| 9.120000000|112.112000000| 6.032000000
 2|104| 5.7|20| 9.690000000|114.192000000| 6.032000000
 2|104| 5.7|20|10.260000000|115.024000000| 6.240000000
 2|104| 5.7|20|10.830000000|116.168000000| 6.552000000
 2|104| 5.7|20|11.400000000|117.832000000| 7.072000000
 3|104| 5.7|20| 0.650000000| 33.872000000| 1.392000000
 3|104| 5.7|20| 1.300000000| 57.188000000| 1.624000000
 3|104| 5.7|20| 1.950000000| 75.284000000| 1.972000000
 3|104| 5.7|20| 2.600000000| 88.392000000| 1.392000000
 3|104| 5.7|20| 3.250000000| 95.236000000| 1.508000000
 3|104| 5.7|20| 3.900000000|102.544000000| 1.508000000
 3|104| 5.7|20| 4.550000000|106.952000000| 1.508000000
 3|104| 5.7|20| 5.200000000|112.868000000| 1.624000000
 3|104| 5.7|20| 5.850000000|113.216000000| 1.740000000
 3|104| 5.7|20| 6.500000000|115.420000000| 1.740000000
 3|104| 5.7|20| 7.150000000|116.348000000| 5.104000000
 3|104| 5.7|20| 7.800000000|118.436000000| 5.684000000
 3|104| 5.7|20| 8.450000000|119.480000000| 6.380000000
 3|104| 5.7|20| 9.100000000|119.364000000| 6.148000000
 3|104| 5.7|20| 9.750000000|121.104000000| 5.800000000
 3|104| 5.7|20|10.400000000|121.800000000| 5.916000000
 3|104| 5.7|20|11.050000000|123.192000000| 5.800000000
 3|104| 5.7|20|11.700000000|124.352000000| 6.148000000
 3|104| 5.7|20|12.350000000|125.280000000| 6.612000000
 3|104| 5.7|20|13.000000000|126.556000000| 6.032000000
 4|135| 7.6|20| 0.760000000| 40.230000000| 2.025000000
 4|135| 7.6|20| 1.520000000| 68.580000000| 2.025000000
 4|135| 7.6|20| 2.280000000| 94.095000000| 2.430000000
 4|135| 7.6|20| 3.040000000|103.815000000| 1.485000000
 4|135| 7.6|20| 3.800000000|113.265000000| 1.350000000
 4|135| 7.6|20| 4.560000000|120.285000000| 1.755000000
 4|135| 7.6|20| 5.320000000|125.820000000| 1.485000000
 4|135| 7.6|20| 6.080000000|131.895000000| 2.430000000
 4|135| 7.6|20| 6.840000000|133.920000000| 1.890000000
 4|135| 7.6|20| 7.600000000|135.405000000| 2.025000000
 4|135| 7.6|20| 8.360000000|136.485000000| 6.480000000
 4|135| 7.6|20| 9.120000000|136.890000000| 6.480000000
 4|135| 7.6|20| 9.880000000|137.565000000| 6.885000000
 4|135| 7.6|20|10.640000000|139.455000000| 6.345000000
 4|135| 7.6|20|11.400000000|139.185000000| 6.615000000
 4|135| 7.6|20|12.160000000|140.805000000| 6.615000000
 4|135| 7.6|20|12.920000000|142.155000000| 6.615000000
 4|135| 7.6|20|13.680000000|142.020000000| 6.480000000
 4|135| 7.6|20|14.440000000|144.720000000| 6.615000000
 4|135| 7.6|20|15.200000000|144.450000000| 6.750000000
 5|154| 8.9|20| 1.780000000| 53.284000000| 2.310000000
 5|154| 8.9|20| 2.670000000| 88.242000000| 2.002000000
 5|154| 8.9|20| 3.560000000|106.106000000| 2.002000000
 5|154| 8.9|20| 4.450000000|119.812000000| 1.694000000
 5|154| 8.9|20| 5.340000000|129.514000000| 1.848000000
 5|154| 8.9|20| 6.230000000|138.754000000| 1.848000000
 5|154| 8.9|20| 7.120000000|141.526000000| 1.540000000
 5|154| 8.9|20| 8.010000000|143.990000000| 1.540000000
 5|154| 8.9|20| 8.900000000|148.302000000| 2.310000000
 5|154| 8.9|20| 9.790000000|154.000000000| 2.002000000
 5|154| 8.9|20|10.680000000|154.462000000| 6.622000000
 5|154| 8.9|20|11.570000000|155.386000000| 6.468000000
 5|154| 8.9|20|12.460000000|155.540000000| 6.622000000
 5|154| 8.9|20|13.350000000|156.618000000| 6.468000000
 5|154| 8.9|20|14.240000000|157.234000000| 6.314000000
 5|154| 8.9|20|15.130000000|157.234000000| 6.930000000
 5|154| 8.9|20|16.020000000|158.312000000| 6.468000000
 5|154| 8.9|20|16.910000000|158.774000000| 6.622000000
 5|154| 8.9|20|17.800000000|158.928000000| 7.392000000
 5|154| 8.9|20|17.800000000|159.698000000| 7.084000000
 6|169|10.1|20| 1.005000000| 63.713000000| 2.873000000
 6|169|10.1|20| 2.010000000| 95.823000000| 0.676000000
 6|169|10.1|20| 3.015000000|116.103000000| 1.183000000
 6|169|10.1|20| 4.020000000|128.102000000| 2.028000000
 6|169|10.1|20| 5.025000000|140.608000000| 2.366000000
 6|169|10.1|20| 6.030000000|147.875000000| 1.352000000
 6|169|10.1|20| 7.035000000|157.508000000| 1.352000000
 6|169|10.1|20| 8.040000000|160.719000000| 1.352000000
 6|169|10.1|20| 9.045000000|165.620000000| 2.873000000
 6|169|10.1|20|10.050000000|168.662000000| 2.873000000
 6|169|10.1|20|11.055000000|168.831000000| 9.126000000
 6|169|10.1|20|12.060000000|170.183000000| 7.774000000
 6|169|10.1|20|13.065000000|169.676000000| 8.281000000
 6|169|10.1|20|14.070000000|170.352000000| 7.774000000
 6|169|10.1|20|15.075000000|170.859000000| 7.267000000
 6|169|10.1|20|16.080000000|171.873000000| 7.774000000
 6|169|10.1|20|17.085000000|171.197000000| 8.450000000
 6|169|10.1|20|18.090000000|172.211000000| 7.436000000
 6|169|10.1|20|19.095000000|172.718000000| 7.098000000
 6|169|10.1|20|20.100000000|172.549000000| 8.788000000
 7|185|11.5|20| 1.149000000| 73.815000000| 3.330000000
 7|185|11.5|20| 2.298000000|112.665000000| 3.145000000
 7|185|11.5|20| 3.447000000|138.380000000| 2.775000000
 7|185|11.5|20| 4.596000000|153.180000000| 2.220000000
 7|185|11.5|20| 5.745000000|160.580000000| 1.850000000
 7|185|11.5|20| 6.894000000|170.200000000| 2.405000000
 7|185|11.5|20| 8.043000000|175.565000000| 2.405000000
 7|185|11.5|20| 9.192000000|175.565000000| 2.220000000
 7|185|11.5|20|10.341000000|184.815000000| 2.775000000
 7|185|11.5|20|11.490000000|185.185000000| 3.330000000
 7|185|11.5|20|12.639000000|185.185000000| 8.510000000
 7|185|11.5|20|13.788000000|185.000000000| 8.880000000
 7|185|11.5|20|14.937000000|185.555000000| 9.435000000
 7|185|11.5|20|16.086000000|184.445000000| 9.620000000
 7|185|11.5|20|17.235000000|184.630000000| 9.435000000
 7|185|11.5|20|18.384000000|184.630000000| 9.435000000
 7|185|11.5|20|19.533000000|184.445000000| 9.620000000
 7|185|11.5|20|20.682000000|184.630000000| 8.510000000
 7|185|11.5|20|21.831000000|184.815000000| 8.510000000
 7|185|11.5|20|22.980000000|184.260000000| 9.065000000
 8|205|13.5|20| 1.352000000|100.040000000| 3.280000000
 8|205|13.5|20| 2.704000000|147.600000000| 3.280000000
 8|205|13.5|20| 4.056000000|168.100000000| 2.665000000
 8|205|13.5|20| 5.408000000|181.015000000| 2.665000000
 8|205|13.5|20| 6.760000000|186.550000000| 2.255000000
 8|205|13.5|20| 8.112000000|191.060000000| 2.665000000
 8|205|13.5|20| 9.464000000|197.415000000| 2.460000000
 8|205|13.5|20|10.816000000|205.820000000| 2.460000000
 8|205|13.5|20|12.168000000|199.670000000| 2.665000000
 8|205|13.5|20|13.520000000|205.615000000| 3.485000000
 8|205|13.5|20|14.872000000|205.000000000| 9.840000000
 8|205|13.5|20|16.224000000|204.180000000| 9.635000000
 8|205|13.5|20|17.576000000|203.565000000|10.455000000
 8|205|13.5|20|18.928000000|202.950000000| 9.840000000
 8|205|13.5|20|20.280000000|202.335000000| 9.635000000
 8|205|13.5|20|21.632000000|201.925000000| 9.840000000
 8|205|13.5|20|22.984000000|200.900000000|10.250000000
 8|205|13.5|20|24.336000000|200.080000000|10.250000000
 8|205|13.5|20|25.688000000|199.875000000|10.250000000
 8|205|13.5|20|27.040000000|199.260000000| 9.635000000
 9|225|15.3|20| 1.527000000| 85.950000000| 6.975000000
 9|225|15.3|20| 3.054000000|148.725000000| 5.625000000
 9|225|15.3|20| 4.581000000|183.600000000| 3.150000000
 9|225|15.3|20| 6.108000000|189.000000000| 4.725000000
 9|225|15.3|20| 7.635000000|205.650000000| 1.575000000
 9|225|15.3|20| 9.162000000|212.175000000| 3.150000000
 9|225|15.3|20|10.689000000|216.900000000| 2.925000000
 9|225|15.3|20|12.216000000|217.125000000| 2.475000000
 9|225|15.3|20|13.743000000|226.800000000| 2.700000000
 9|225|15.3|20|15.270000000|226.800000000| 3.150000000
 9|225|15.3|20|16.797000000|224.775000000|10.800000000
 9|225|15.3|20|18.324000000|224.100000000|10.575000000
 9|225|15.3|20|19.851000000|222.750000000|10.800000000
 9|225|15.3|20|21.378000000|222.300000000|10.350000000
 9|225|15.3|20|22.905000000|220.950000000|10.575000000
 9|225|15.3|20|24.432000000|219.375000000|11.025000000
 9|225|15.3|20|25.959000000|218.700000000|10.800000000
 9|225|15.3|20|27.486000000|217.125000000|11.025000000
 9|225|15.3|20|29.013000000|216.000000000|11.025000000
 9|225|15.3|20|30.540000000|213.975000000|11.025000000
10|243|18.0|20| 1.800000000|138.024000000| 8.748000000
10|243|18.0|20| 3.600000000|179.820000000| 6.075000000
10|243|18.0|20| 5.400000000|204.606000000| 3.888000000
10|243|18.0|20| 7.200000000|223.560000000| 2.916000000
10|243|18.0|20| 9.000000000|227.691000000| 2.916000000
10|243|18.0|20|10.800000000|235.710000000| 3.402000000
10|243|18.0|20|12.600000000|240.570000000| 3.402000000
10|243|18.0|20|14.400000000|241.542000000| 2.673000000
10|243|18.0|20|16.200000000|243.000000000| 2.430000000
10|243|18.0|20|18.000000000|243.000000000| 2.187000000
10|243|18.0|20|19.800000000|241.542000000|10.935000000
10|243|18.0|20|21.600000000|238.383000000|11.664000000
10|243|18.0|20|23.400000000|238.140000000| 9.720000000
10|243|18.0|20|25.200000000|235.224000000|10.206000000
10|243|18.0|20|27.000000000|233.037000000|10.206000000
10|243|18.0|20|28.800000000|231.093000000| 9.963000000
10|243|18.0|20|30.600000000|229.392000000|10.935000000
10|243|18.0|20|32.400000000|226.719000000|12.150000000
10|243|18.0|20|34.200000000|225.990000000| 8.505000000
10|243|18.0|20|36.000000000|225.261000000| 9.234000000
11|279|22.7|20| 2.265000000|160.704000000|24.552000000
11|279|22.7|20| 4.530000000|197.532000000|19.251000000
11|279|22.7|20| 6.795000000|239.940000000| 7.812000000
11|279|22.7|20| 9.060000000|248.868000000| 5.859000000
11|279|22.7|20|11.325000000|267.561000000| 5.580000000
11|279|22.7|20|13.590000000|266.166000000| 5.301000000
11|279|22.7|20|15.855000000|285.138000000| 5.580000000
11|279|22.7|20|18.120000000|285.696000000| 4.185000000
11|279|22.7|20|20.385000000|283.743000000| 5.301000000
11|279|22.7|20|22.650000000|280.116000000| 5.859000000
11|279|22.7|20|24.915000000|277.605000000|10.881000000
11|279|22.7|20|27.180000000|273.420000000|13.392000000
11|279|22.7|20|29.445000000|270.630000000|12.276000000
11|279|22.7|20|31.710000000|266.724000000|13.392000000
11|279|22.7|20|33.975000000|262.818000000|13.113000000
11|279|22.7|20|36.240000000|260.307000000|12.555000000
11|279|22.7|20|38.505000000|256.959000000|11.997000000
11|279|22.7|20|40.770000000|253.332000000|13.113000000
11|279|22.7|20|43.035000000|251.100000000|11.439000000
11|279|22.7|20|45.300000000|247.473000000|11.160000000
12| 44| 5.5|12| 0.346153846|  7.282204951| 1.238901807
12| 44| 5.5|12| 1.038461538| 16.672222380| 1.700218336
12| 44| 5.5|12| 1.730769231| 25.639877700| 2.421383403
12| 44| 5.5|12| 2.423076923| 34.216053750| 3.101959376
12| 44| 5.5|12| 3.115384615| 37.060247430| 1.572480749
12| 44| 5.5|12| 3.894230769| 42.368977980| 1.442099240
12| 44| 5.5|12| 4.759615385| 41.916179550| 2.149669636
12| 44| 5.5|12| 5.625000000| 45.533129620| 0.873001464
12| 44| 5.5|12| 6.490384615| 48.360773530| 0.703079781
12| 44| 5.5|12| 7.355769231| 51.146241840| 1.389822906
12| 44| 5.5|12| 8.221153846| 49.939937330| 1.073841399
12| 44| 5.5|12| 9.086538462| 56.409548530| 4.194888018
13| 73| 6.9|12| 0.436352941| 25.026459610| 1.462958100
13| 73| 6.9|12| 1.309058824| 40.050028480| 1.327179891
13| 73| 6.9|12| 2.181764706| 52.001133290| 1.954835296
13| 73| 6.9|12| 3.054470588| 56.537593270| 1.901009555
13| 73| 6.9|12| 3.927176471| 62.346442780| 1.224484833
13| 73| 6.9|12| 4.908970588| 64.835987850| 1.340499029
13| 73| 6.9|12| 5.999852941| 70.737634130| 0.831981539
13| 73| 6.9|12| 7.090735294| 74.315579330| 0.517500641
13| 73| 6.9|12| 8.181617647| 76.269150050| 1.245315632
13| 73| 6.9|12| 9.272500000| 78.577849810| 1.412150500
13| 73| 6.9|12|10.363382350| 81.033627910| 1.654770367
13| 73| 6.9|12|11.454264710| 81.697324460| 2.198983134
14|101|11.8|12| 0.735647059| 25.284878810| 1.835432844
14|101|11.8|12| 2.206941176| 53.734502850| 1.921495673
14|101|11.8|12| 3.678235294| 71.764355900| 2.661956549
14|101|11.8|12| 5.149529412| 81.062272250| 2.816382987
14|101|11.8|12| 6.620823529| 89.912852080| 2.816382987
14|101|11.8|12| 8.276029412| 93.650521430| 1.309166091
14|101|11.8|12|10.115147060| 97.205886740| 1.656005460
14|101|11.8|12|11.954264710|101.302362700| 0.464485622
14|101|11.8|12|13.793382350|104.010930100| 0.773095339
14|101|11.8|12|15.632500000|106.894806500| 1.016825472
14|101|11.8|12|17.471617650|107.780445800| 1.428590286
14|101|11.8|12|19.310735290|107.888857500| 2.009427386
15|141|14.5| 9| 0.904400000| 47.860962680| 2.219193232
15|141|14.5| 9| 2.713200000| 90.414118530| 2.046525618
15|141|14.5| 9| 4.522000000|112.171670600| 2.599433759
15|141|14.5| 9| 6.783000000|121.766954900| 2.244792072
15|141|14.5| 9| 9.496200000|128.634557200| 3.075204608
15|141|14.5| 9|12.209400000|133.752571700| 2.866264470
15|141|14.5| 9|14.922600000|135.961507900| 2.488945570
15|141|14.5| 9|17.635800000|138.883123400| 2.982569108
15|141|14.5| 9|21.253400000|129.524636500| 2.847095496
16|206|25.3|11| 1.576600000|127.098418700| 7.225398656
16|206|25.3|11| 4.729800000|148.749900800| 6.108163358
16|206|25.3|11| 7.883000000|173.949896400| 3.535577100
16|206|25.3|11|11.036200000|197.612933000| 3.712356342
16|206|25.3|11|14.189400000|194.847293800| 4.949620443
16|206|25.3|11|17.736750000|198.171161200| 3.419619015
16|206|25.3|11|21.678250000|199.282818800| 5.161526488
16|206|25.3|11|25.619750000|205.549919900| 1.550641838
16|206|25.3|11|29.561250000|203.167230800| 4.007074547
16|206|25.3|11|34.685200000|199.652945600| 5.333325004
16|206|25.3|11|40.991600000|195.233088300| 6.935308042
17|104| 5.7|23| 0.342000000| 18.928000000| 8.632000000
17|104| 5.7|23| 0.684000000| 32.136000000| 5.304000000
17|104| 5.7|23| 1.026000000| 42.744000000| 4.056000000
17|104| 5.7|23| 1.368000000| 53.040000000| 2.808000000
17|104| 5.7|23| 1.710000000| 60.840000000| 2.600000000
17|104| 5.7|23| 2.052000000| 67.808000000| 2.704000000
17|104| 5.7|23| 2.394000000| 74.672000000| 2.080000000
17|104| 5.7|23| 2.736000000| 78.624000000| 2.080000000
17|104| 5.7|23| 3.078000000| 81.848000000| 2.184000000
17|104| 5.7|23| 3.420000000| 85.280000000| 1.872000000
17|104| 5.7|23| 3.762000000| 88.504000000| 1.664000000
17|104| 5.7|23| 4.104000000| 90.168000000| 2.080000000
17|104| 5.7|23| 4.446000000| 92.456000000| 1.664000000
17|104| 5.7|23| 4.788000000| 95.160000000| 1.768000000
17|104| 5.7|23| 5.130000000| 99.008000000| 1.768000000
17|104| 5.7|23| 5.472000000|102.544000000| 1.976000000
17|104| 5.7|23| 5.814000000|104.728000000| 3.120000000
17|104| 5.7|23| 6.156000000|107.016000000| 3.224000000
17|104| 5.7|23| 6.498000000|108.576000000| 4.680000000
17|104| 5.7|23| 6.840000000|107.432000000| 4.888000000
17|104| 5.7|23| 7.182000000|106.496000000| 6.656000000
17|104| 5.7|23| 7.752000000|102.336000000| 4.888000000
17|104| 5.7|23| 8.322000000| 97.136000000| 2.288000000
18|135| 7.6|29| 0.456000000| 25.920000000| 8.775000000
18|135| 7.6|29| 0.912000000| 45.630000000| 6.345000000
18|135| 7.6|29| 1.368000000| 63.990000000| 4.860000000
18|135| 7.6|29| 1.824000000| 77.625000000| 3.915000000
18|135| 7.6|29| 2.280000000| 88.020000000| 3.510000000
18|135| 7.6|29| 2.736000000| 96.120000000| 3.240000000
18|135| 7.6|29| 3.192000000|102.735000000| 2.430000000
18|135| 7.6|29| 3.648000000|108.270000000| 2.970000000
18|135| 7.6|29| 4.104000000|113.130000000| 2.700000000
18|135| 7.6|29| 4.560000000|118.800000000| 2.295000000
18|135| 7.6|29| 5.016000000|122.715000000| 2.295000000
18|135| 7.6|29| 5.472000000|125.145000000| 2.430000000
18|135| 7.6|29| 5.928000000|127.845000000| 2.295000000
18|135| 7.6|29| 6.384000000|129.330000000| 2.025000000
18|135| 7.6|29| 6.840000000|132.570000000| 2.025000000
18|135| 7.6|29| 7.296000000|134.865000000| 2.160000000
18|135| 7.6|29| 7.752000000|135.000000000| 1.755000000
18|135| 7.6|29| 8.208000000|137.295000000| 2.160000000
18|135| 7.6|29| 8.664000000|137.295000000| 2.160000000
18|135| 7.6|29| 9.120000000|138.645000000| 1.890000000
18|135| 7.6|29| 9.576000000|143.640000000| 2.025000000
18|135| 7.6|29|10.032000000|146.880000000| 2.025000000
18|135| 7.6|29|10.488000000|144.045000000| 2.295000000
18|135| 7.6|29|10.944000000|144.855000000| 2.835000000
18|135| 7.6|29|11.400000000|140.670000000| 3.510000000
18|135| 7.6|29|11.856000000|134.865000000| 3.915000000
18|135| 7.6|29|12.312000000|136.485000000| 5.130000000
18|135| 7.6|29|13.072000000|138.645000000| 3.915000000
18|135| 7.6|29|13.832000000|141.615000000| 6.210000000
19|169|10.1|29| 0.603000000| 32.955000000|11.661000000
19|169|10.1|29| 1.206000000| 59.657000000| 5.577000000
19|169|10.1|29| 1.809000000| 81.289000000| 3.887000000
19|169|10.1|29| 2.412000000| 99.034000000| 3.887000000
19|169|10.1|29| 3.015000000|113.061000000| 2.704000000
19|169|10.1|29| 3.618000000|124.722000000| 3.211000000
19|169|10.1|29| 4.221000000|132.327000000| 2.535000000
19|169|10.1|29| 4.824000000|139.087000000| 2.704000000
19|169|10.1|29| 5.427000000|145.847000000| 2.535000000
19|169|10.1|29| 6.030000000|152.100000000| 2.197000000
19|169|10.1|29| 6.633000000|156.325000000| 2.366000000
19|169|10.1|29| 7.236000000|159.874000000| 2.366000000
19|169|10.1|29| 7.839000000|162.071000000| 2.028000000
19|169|10.1|29| 8.442000000|164.775000000| 2.197000000
19|169|10.1|29| 9.045000000|166.803000000| 2.366000000
19|169|10.1|29| 9.648000000|168.662000000| 1.859000000
19|169|10.1|29|10.251000000|169.169000000| 1.859000000
19|169|10.1|29|10.854000000|170.352000000| 1.521000000
19|169|10.1|29|11.457000000|173.225000000| 2.366000000
19|169|10.1|29|12.060000000|178.633000000| 2.197000000
19|169|10.1|29|12.663000000|181.844000000| 2.535000000
19|169|10.1|29|13.266000000|180.661000000| 2.873000000
19|169|10.1|29|13.869000000|185.393000000| 4.056000000
19|169|10.1|29|14.472000000|182.858000000| 4.394000000
19|169|10.1|29|15.075000000|177.957000000| 6.253000000
19|169|10.1|29|15.678000000|168.662000000| 6.929000000
19|169|10.1|29|16.281000000|168.831000000| 5.915000000
19|169|10.1|29|17.286000000|173.056000000| 5.577000000
19|169|10.1|29|18.291000000|169.338000000|10.647000000
20|185|11.5|30| 0.689400000| 39.220000000|10.175000000
20|185|11.5|30| 1.378800000| 69.560000000| 6.475000000
20|185|11.5|30| 2.068200000| 94.350000000| 4.995000000
20|185|11.5|30| 2.757600000|114.700000000| 3.330000000
20|185|11.5|30| 3.447000000|128.945000000| 3.885000000
20|185|11.5|30| 4.136400000|140.045000000| 3.330000000
20|185|11.5|30| 4.825800000|148.740000000| 2.220000000
20|185|11.5|30| 5.515200000|155.585000000| 2.590000000
20|185|11.5|30| 6.204600000|162.060000000| 2.960000000
20|185|11.5|30| 6.894000000|167.055000000| 2.590000000
20|185|11.5|30| 7.583400000|172.050000000| 2.405000000
20|185|11.5|30| 8.272800000|174.825000000| 2.405000000
20|185|11.5|30| 8.962200000|177.415000000| 2.035000000
20|185|11.5|30| 9.651600000|179.450000000| 2.590000000
20|185|11.5|30|10.341000000|182.225000000| 2.220000000
20|185|11.5|30|11.030400000|183.890000000| 2.220000000
20|185|11.5|30|11.719800000|185.555000000| 2.220000000
20|185|11.5|30|12.409200000|187.220000000| 2.220000000
20|185|11.5|30|13.098600000|187.405000000| 2.220000000
20|185|11.5|30|13.788000000|185.370000000| 2.590000000
20|185|11.5|30|14.477400000|185.925000000| 2.590000000
20|185|11.5|30|15.166800000|187.590000000| 2.405000000
20|185|11.5|30|15.856200000|187.960000000| 2.220000000
20|185|11.5|30|16.545600000|187.590000000| 2.775000000
20|185|11.5|30|17.235000000|189.070000000| 3.145000000
20|185|11.5|30|17.924400000|185.370000000| 2.775000000
20|185|11.5|30|18.613800000|179.450000000| 3.885000000
20|185|11.5|30|19.303200000|180.375000000| 4.810000000
20|185|11.5|30|19.992600000|189.440000000| 4.440000000
20|185|11.5|30|21.141600000|206.275000000| 3.145000000
21|205|13.5|29| 0.811200000| 48.790000000| 9.635000000
21|205|13.5|29| 1.622400000| 85.895000000| 5.125000000
